Ticker,Name,Sector,ISIN,SEDOL,Figi
III LN,3i,Financial Services,GB00B1YW4409,B1YW440,BBG000BZZ876
ADM LN,Admiral Group,Nonlife Insurance,GB00B02J6398,B02J639,BBG000PG2GZ0
AAL LN,Anglo American plc,Mining,GB00B1XZS820,B1XZS82,BBG000BBLDF4
ANTO LN,Antofagasta,Mining,GB0000456144,45614,BBG000BD4SC9
AHT LN,Ashtead Group,Support Services,GB0000536739,53673,BBG000BD42C6
ABF LN,Associated British Foods,Food Producers,GB0006731235,673123,BBG000BD3SC0
AZN LN,AstraZeneca,Pharmaceuticals & Biotechnology,GB0009895292,989529,BBG000C0YDQ1
AUTO LN,Auto Trader Group,Media,GB00BVYVFW23,BVYVFW2,BBG0086LKMG1
AVST LN,Avast,Software & Computer Services,GB00BDD85M81,BDD85M8,BBG00KW3SK62
AVV LN,Aveva,Software & Computer Services,GB00BBG9VN75,BBG9VN7,BBG000C21Y87
AV/ LN,Aviva,Life Insurance,GB0002162385,216238,BBG000DDCSJ1
BME LN,B&M,Retailers,LU1072616219,BMTRW10,BBG006K4W740
BA/ LN,BAE Systems,Aerospace & Defence,GB0002634946,263494,BBG000BD5TW4
BARC LN,Barclays,Banks,GB0031348658,3134865,BBG000C04D57
BDEV LN,Barratt Developments,Household Goods & Home Construction,GB0000811801,81180,BBG000BD6DG6
BKG LN,Berkeley Group Holdings,Household Goods & Home Construction,GB00B02L3W35,B02L3W3,BBG000H6ZKT3
BHP LN,BHP,Mining,GB00BH0P3Z91,BH0P3Z9,BBG000F3W0C7
BP/ LN,BP,Oil & Gas Producers,GB0007980591,798059,BBG000C05BD1
BATS LN,British American Tobacco,Tobacco,GB0002875804,287580,BBG000BG9N74
BLND LN,British Land,Real Estate Investment Trusts,GB0001367019,136701,BBG000BD7DW7
BT/A LN,BT Group,Fixed Line Telecommunications,GB0030913577,3091357,BBG000C05R82
BNZL LN,Bunzl,Support Services,GB00B0744B38,B0744B3,BBG000BD7MX6
BRBY LN,Burberry,Personal Goods,GB0031743007,3174300,BBG000BYJMD9
CCH LN,Coca-Cola HBC,Beverages,CH0198251305,B9895B7,BBG000BS1Q24
CPG LN,Compass Group,Support Services,GB00BD6K4575,BD6K457,BBG000FNNYW7
CRH LN,CRH plc,Construction & Materials,IE0001827041,182704,BBG000BDCN13
CRDA LN,Croda International,Chemicals,GB00BJFFLV09,BJFFLV0,BBG000BDCLS8
DCC LN,DCC plc,Support Services,IE0002424939,242493,BBG000BFLBK3
DGE LN,Diageo,Beverages,GB0002374006,237400,BBG000BS69D5
ENT LN,Entain,Travel & Leisure,IM00B5VQMV65,B5VQMV6,BBG000FTWDZ7
EVR LN,Evraz,Industrial Metals & Mining,GB00B71N6K86,B71N6K8,BBG0027J63T2
EXPN LN,Experian,Support Services,GB00B19NLV48,B19NLV4,BBG000BKFZN3
FERG LN,Ferguson plc,Support Services,JE00BJVNSS43,BJVNSS4,BBG00NZJ0JG0
FLTR LN,Flutter Entertainment,Travel & Leisure,IE00BWT6H894,BWXC0Z1,BBG000DWL6M3
FRES LN,Fresnillo,Mining,GB00B2QPKJ12,B2QPKJ1,BBG000RC9QX0
GSK LN,GlaxoSmithKline,Pharmaceuticals & Biotechnology,GB0009252882,925288,BBG000CT5GJ1
GLEN LN,Glencore,Mining,JE00B4T3BW64,B4T3BW6,BBG001MM1KV4
HLMA LN,Halma,Electronic & Electrical Equipment,GB0004052071,405207,BBG000BDLT47
HL/ LN,Hargreaves Lansdown,Financial Services,GB00B1VZ0M25,B1VZ0M2,BBG000CLQ3K2
HIK LN,Hikma Pharmaceuticals,Pharmaceuticals & Biotechnology,GB00B0LCW083,B0LCW08,BBG000FG1MF1
HSBA LN,HSBC,Banks,GB0005405286,540528,BBG000BQ9HJ2
IHG LN,IHG Hotels & Resorts,Travel & Leisure,GB00BHJYC057,BHJYC05,BBG000C2C4D5
IMB LN,Imperial Brands,Tobacco,GB0004544929,454492,BBG000BYK740
INF LN,Informa,Media,GB00BMJ6DW54,BMJ6DW5,BBG000BLHQP7
ICP LN,Intermediate Capital Group,Investment Services,GB00BYT1DJ19,BYT1DJ1,BBG000D8KQJ7
IAG LN,International Airlines Group,Travel & Leisure,ES0177542018,B5M6XQ7,BBG000C04GS5
ITRK LN,Intertek,Support Services,GB0031638363,3163836,BBG000C08QY2
JD/ LN,JD Sports,General Retailers,GB00BYX91H57,BYX91H5,BBG000QVZQC3
JMAT LN,Johnson Matthey,Chemicals,GB00BZ4BQC70,BZ4BQC7,BBG000BDNS10
JET LN,Just Eat Takeaway,Software & Computer Services,NL0012015705,BKM1QM4,BBG00DRDFY39
KGF LN,Kingfisher,Retailers,GB0033195214,3319521,BBG000BKH1W6
LAND LN,Land Securities,Real Estate Investment Trusts,GB00BYW0PQ60,BYW0PQ6,BBG000BDPHS3
LGEN LN,Legal & General,Life Insurance,GB0005603997,560399,BBG000BDQCG6
LLOY LN,Lloyds Banking Group,Banks,GB0008706128,870612,BBG000BDQGR5
LSEG LN,London Stock Exchange Group,Financial Services,GB00B0SWJX34,B0SWJX3,BBG000BC85S0
MNG LN,M&G,Asset Managers,GB00BKFB1C65,BKFB1C6,BBG00K9ZPS45
MRO LN,Melrose Industries,Automobiles & Parts,GB00BZ1G4322,BZ1G432,BBG00B5YJC26
MNDI LN,Mondi,Forestry & Paper,GB00B1CRLC47,B1CRLC4,BBG000C26Q43
